X,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,GlobalID,X_Field,Y
,Locations for Spring 2022,0,-1,0.000000000000000,,First floor kitchen/break room. Not student accessible ,-1,0,{3A1C5AAB-DB95-4EF3-8A9D-858D4B76A0E9},-83.373782100000000,33.955785100000000
,Locations for Spring 2022,0,-1,0.000000000000000,,Large bin located on first floor study area by Jittery Joes. Student and faculty accessible.,-1,0,{3C963497-7502-42EB-AE95-28513592833E},-83.374769200000003,33.954877300000000
,Locations for Spring 2022,0,-1,0.000000000000000,,Small bin in 1st floor kitchen. Not accessible to students. ,-1,0,{53B075D2-BC19-4612-93F1-D2DB7BB86A58},-83.375198299999994,33.954912899999997
,Locations for Spring 2022,0,-1,0.000000000000000,,Large bin located in break room/kitchen on second floor office space. ,-1,0,{3F05BD75-00E1-44D7-B778-A278D8F3061F},-83.370971200000000,33.957280099999998
,Locations for Spring 2022,0,-1,0.000000000000000,,1 Large bin located outside of garden area on first floor. 2 bins located inside in kitchen spaces. Accessible to students. ,-1,0,{E1F8CAB1-95E5-47A6-AB0B-9AE7FBACE959},-83.376692300000002,33.946880800000002
,Locations for Spring 2022,0,-1,0.000000000000000,,Large bin on second floor study/kitchen area (accessible to students) one small bin on first floor kitchen (accessible to students) and small bin located in faculty kitchen on second floor. ,-1,0,{25EF5052-9990-4F7C-8E5A-BF0187EC552E},-83.375962700000002,33.945225399999998
,Locations for Spring 2022,0,-1,0.000000000000000,,"One small bin in kitchen area, not accessible to students. ",-1,0,{2F5D5B25-0F56-4700-B1F4-88089C45460E},-83.373482499999994,33.945086099999997
,Locations for Spring 2022,0,-1,0.000000000000000,,"One small bin in 711 lab, accessible to lab faculty. One small bin in study room/ kitchen on 4th floor. ",-1,0,{5DD5D3DA-A3EC-4009-BDBE-6AFFAC3058ED},-83.374555400000006,33.946221299999998
,Locations for Spring 2022,0,-1,0.000000000000000,,One small bin in kitchen for room 624 on sixth floor(accessible to faculty) and one small bin on sixth floor faculty kitchen room 608. ,-1,0,{AC003161-9550-463B-B49B-E0DAC82F6B86},-83.372899099999998,33.941696600000000
,Locations for Spring 2022,0,-1,0.000000000000000,,Buildings K & P. Student accessible. ,-1,0,{D7595DFD-56FB-44D5-BA02-96AC8675963F},-83.374598300000002,33.935852300000001
,Locations for Spring 2022,0,-1,0.000000000000000,,Compost bin is in middle break area.,-1,0,{F0551B19-6465-4CF5-A542-F27B06BB31F7},-83.365000199999997,33.930329399999998
